original_index,0,1,2,3,4,5,6
88,1.0317008296459742e-308,2.487427420058861e-308,1.8411206930868964e-308,1.0,2.67415417607775e-308,1.75460738462049e-308,1.4838205885626746e-308
89,0.04852181371184933,0.05413299808793573,0.037014995983030805,0.04326216123223759,0.03184721834935068,0.0698385752385558,0.03466078397781652
90,0.3819800004078349,0.05685922766873049,0.09514453701854461,0.05686961338110858,0.06276299854437252,0.05836787114394508,0.10501100272759736
91,1.4735068685711403e-308,1.5322027544121217e-308,1.0,1.569448373120967e-308,2.2033235254503807e-308,1.0905967713622567e-308,2.393813088314807e-308
92,0.7545592244144103,0.040184633820591696,0.04397245290190753,0.03669352929110168,0.03416902514044941,0.04301329418472795,0.047407840246811606
93,0.5874767241696303,0.06583740705862885,0.07425688715724693,0.061591073713683185,0.057392037384985196,0.07132894434741213,0.08211692616841347
94,2.0605579161780243e-308,1.0188791590019466e-308,1.989335949141596e-308,1.306486906686226e-308,1.743853913620744e-308,9.99550457409284e-309,1.0
95,0.03641981447396709,0.49305982865552384,0.06769705065631315,0.08363854013838772,0.06171110546271373,0.06909850814545562,0.04063332723129032
96,0.03517744182128029,0.067343946447555,0.07092968342129516,0.2032116224504191,0.15410598064365597,0.04937489712273338,0.05575187810710671
97,0.03921347917173608,0.05931117193750867,0.17320401196440652,0.07053712737547316,0.14321793309679723,0.04018927385150985,0.06572125457105647
98,1.103941109382792e-308,1.552076128166844e-308,2.633577646974141e-308,2.4136987326842545e-308,1.0,1.1880685465096143e-308,1.911388056018223e-308
99,1.0,8.88865106123079e-309,9.7252340393221e-309,7.84092214922638e-309,7.369491720472914e-309,8.981497394877563e-309,1.006902057949806e-308
100,0.11580443653359151,0.07676037362850792,0.27973184208536955,0.08074984212964219,0.10263835046343865,0.06496360345000517,0.15848365330831607
101,0.6019668318011149,0.06868702760096695,0.07001640143170046,0.0595847719731592,0.05561891071862275,0.0730715661665565,0.0710544903078792
102,0.3413370952011214,0.08148882881775688,0.08775755230010794,0.0723709332528468,0.06892752753410718,0.09156717828779502,0.09205433306259354
103,9.852387308474233e-309,2.3821351751323177e-308,1.7151440973583847e-308,1.0,2.685895443736041e-308,1.788686690137256e-308,1.3767147211461996e-308
104,0.38180886952662463,0.11112307241714417,0.11899685613579068,0.0908602996846749,0.08798450748227399,0.10213501160884314,0.10709138314464854
105,0.055643118817815924,0.27790472632978963,0.12000150887651174,0.13624373213378027,0.11492103836113693,0.09421980666632639,0.06738978297582549
106,0.03923554845980316,0.4767642257458231,0.07686887739487272,0.10412803176259723,0.07220910792522332,0.07393994584235103,0.04573794696990624
107,1.0,9.651032210052703e-309,1.3186005053196733e-308,9.591520578402286e-309,9.93461019000795e-309,1.0798562872494823e-308,1.51128838142575e-308
108,0.3799222330273316,0.062102924616238835,0.08019681562065398,0.06838875810133291,0.07074169152814798,0.0829271107390221,0.10016116115108464
109,0.047417468641424564,0.0409694844846441,0.0698400904166475,0.04953743561702117,0.04792963065554531,0.037160185306107985,0.06841679683423736
110,0.36536989571325446,0.08099951275638143,0.09637777908408131,0.07136862707906484,0.07041257494240337,0.08159606593221201,0.0944849231196808
112,0.04156801020165097,0.032236117074927365,0.06317553880037301,0.04462991816247295,0.10292040241670891,0.031031608275813267,0.09277727514809544
113,0.6298632033821957,0.06429918092099035,0.06478587909143375,0.05564916053580088,0.051003214727622884,0.06835926435781349,0.066040096984143
114,9.867466842155713e-309,1.0,1.639684469717633e-308,1.8939292757838087e-308,1.390974957642877e-308,1.8494019090670525e-308,1.0353760191904863e-308
115,0.04753453790238578,0.08566146834929038,0.08941646156542113,0.15753321480047824,0.18097770139252697,0.07154583989594655,0.064979161922465
116,0.05350775825589842,0.12322641450975359,0.09316262791923542,0.2491573742223552,0.15003766478346944,0.10283910422807581,0.06863877415265318
